node,out_degree_centrality,in_degree_centrality,katz_centrality,closeness_centrality,betweenness_centrality
10th_century,0.0064,0.0158,0.0198,0.3994,0.0006
11th_century,0.0119,0.0138,0.0185,0.39,0.0007
12th_century,0.0111,0.0198,0.0207,0.3955,0.0014
13th_century,0.0084,0.019,0.0211,0.4025,0.0008
14th_century,0.0077,0.0156,0.018,0.3796,0.0005
15th_Marine_Expeditionary_Unit,0.0059,0.0002,0.0072,0.2656,0.0
15th_century,0.0141,0.023,0.0271,0.4148,0.002
16_Cygni,0.002,0.0005,0.0072,0.2081,0.0002
16_Cygni_Bb,0.003,0.0002,0.0072,0.1723,0.0
16th_century,0.0225,0.0296,0.0291,0.4234,0.0039
1755_Lisbon_earthquake,0.0057,0.001,0.0078,0.3187,0.0
17th_century,0.0215,0.0294,0.0273,0.4221,0.003
1896_Summer_Olympics,0.0067,0.0005,0.0075,0.315,0.0
18th_century,0.0235,0.0393,0.0336,0.4434,0.0064
1928_Okeechobee_Hurricane,0.0042,0.0017,0.0078,0.2876,0.0
1973_oil_crisis,0.0126,0.0037,0.0103,0.3523,0.0004
1980_eruption_of_Mount_St._Helens,0.0106,0.0007,0.0073,0.2496,0.0
19th_century,0.0412,0.0677,0.0498,0.4735,0.0171
1_Ceres,0.0079,0.0027,0.0082,0.2941,0.0001
1st_century,0.0091,0.0106,0.0153,0.3721,0.0003
1st_century_BC,0.0079,0.0086,0.0143,0.3746,0.0002
2-6-0,0.001,0.0005,0.0072,0.2045,0.0
2-8-0,0.0015,0.0005,0.0073,0.2549,0.0001
2003_Atlantic_hurricane_season,0.0044,0.0015,0.0076,0.2358,0.0008
2004_Atlantic_hurricane_season,0.0099,0.0035,0.0083,0.2904,0.0008
2004_Indian_Ocean_earthquake,0.0173,0.0067,0.0109,0.347,0.0009
2005_Atlantic_hurricane_season,0.0138,0.0062,0.0092,0.2884,0.0025
2005_Kashmir_earthquake,0.003,0.0012,0.0084,0.3418,0.0
2005_Sumatra_earthquake,0.0052,0.0005,0.0073,0.2601,0.0
20th_century,0.023,0.0721,0.0495,0.4755,0.0095
21st_century,0.0383,0.0084,0.0146,0.378,0.0056
2nd_century,0.0069,0.0072,0.0128,0.3644,0.0004
