source,target,avg_finished_duration,avg_finished_path_length,avg_rating,failure_rate,avg_unfinished_duration,avg_unfinished_path_length,difficulty_score,shortest_path_length,semantic_distance
14th_century,African_slave_trade,130.67,7.33,3.0,0.4,674.5,9.5,0.17,3.0,0.33
14th_century,Greece,37.0,4.0,,0.0,,,0.04,2.0,0.44
14th_century,John_F._Kennedy,142.5,6.5,3.0,0.0,,,0.08,3.0,0.3
14th_century,Fire,112.0,4.0,2.0,0.0,,,0.06,3.0,0.44
14th_century,Rainbow,181.93,7.44,2.62,0.34,124.0,6.36,0.17,3.0,0.44
14th_century,Sodium,150.0,6.0,3.0,0.0,,,0.08,3.0,0.46
14th_century,Elizabeth_I_of_England,147.0,7.2,3.0,0.17,65.0,4.0,0.13,2.0,0.29
14th_century,Henry_David_Thoreau,507.0,27.0,5.0,0.0,,,0.33,3.0,0.36
2004_Atlantic_hurricane_season,Art,126.0,10.0,3.0,0.0,,,0.11,3.0,0.44
2004_Atlantic_hurricane_season,Chromium,120.5,6.5,,0.0,,,0.08,3.0,0.47
2004_Atlantic_hurricane_season,Atom,55.0,6.0,1.0,0.0,,,0.06,3.0,0.46
2004_Atlantic_hurricane_season,Ice_age,108.33,6.33,1.5,0.0,,,0.08,3.0,0.39
2004_Atlantic_hurricane_season,8th_century,134.0,4.0,1.0,0.0,,,0.06,2.0,0.24
2004_Atlantic_hurricane_season,Buckminster_Fuller,349.0,10.0,3.0,0.0,,,0.16,4.0,0.27
2004_Atlantic_hurricane_season,Great_comet,87.0,9.0,,0.0,,,0.09,5.0,0.34
2004_Atlantic_hurricane_season,James_II_of_England,100.0,6.5,2.5,0.0,,,0.08,3.0,0.31
2005_Atlantic_hurricane_season,Spain,22.0,4.0,1.0,0.0,,,0.04,1.0,0.41
2005_Atlantic_hurricane_season,Jazz,311.6,11.2,3.25,0.29,102.5,3.5,0.22,2.0,0.44
2005_Atlantic_hurricane_season,Liechtenstein,309.0,4.5,3.5,0.0,,,0.11,2.0,0.44
2005_Atlantic_hurricane_season,Sweden,53.0,5.0,,0.0,,,0.05,2.0,0.43
2005_Atlantic_hurricane_season,Burundi,148.0,4.0,2.0,0.0,,,0.07,2.0,0.44
2005_Atlantic_hurricane_season,Hydrogen_peroxide,223.0,5.0,,0.0,,,0.09,3.0,0.29
2005_Atlantic_hurricane_season,International_Court_of_Justice,132.0,8.0,,0.0,,,0.09,2.0,0.23
2005_Atlantic_hurricane_season,Lisbon,23.0,4.0,,0.0,,,0.04,2.0,0.43
2005_Atlantic_hurricane_season,William_McKinley,104.0,4.67,2.0,0.0,,,0.06,2.0,0.29
Aberdeen,Effects_of_global_warming,314.0,14.0,4.0,0.5,63.0,5.0,0.28,3.0,0.49
Aberdeen,Vampire_bat,331.0,8.0,4.0,0.0,,,0.14,4.0,0.44
Aberdeen,Bread,77.0,6.0,,0.5,62.0,3.0,0.17,3.0,0.43
Aberdeen,Alfred_Nobel,239.0,5.0,2.0,0.0,,,0.09,3.0,0.45
Aberdeen,Oxford,91.0,4.0,1.0,0.0,,,0.05,2.0,0.27
Aberdeen,RER,46.0,5.0,,0.0,,,0.05,3.0,0.49
Aberdeen,Sparrowhawk,206.0,8.0,,0.0,,,0.11,3.0,0.43
